Id,Category
0,octagon
1,pineapple
2,empty
3,mug
4,rabbit
5,peanut
6,sink
7,pool
8,empty
9,sink
10,pillow
11,mouth
12,octagon
13,peanut
14,octagon
15,rabbit
16,pillow
17,sink
18,peanut
19,nose
20,scorpion
21,mug
22,penguin
23,panda
24,pencil
25,rhinoceros
26,skateboard
27,rhinoceros
28,pool
29,pineapple
30,pencil
31,screwdriver
32,panda
33,pear
34,nose
35,pineapple
36,mouth
37,mug
38,nail
39,mouth
40,moustache
41,moustache
42,mouth
43,pear
44,pencil
45,rabbit
46,pencil
47,rabbit
48,empty
49,pineapple
50,mouth
51,skull
52,nail
53,mug
54,penguin
55,nail
56,skateboard
57,pear
58,skull
59,pear
60,parrot
61,empty
62,screwdriver
63,nail
64,nail
65,penguin
66,moustache
67,rabbit
68,pineapple
69,spoon
70,parrot
71,scorpion
72,mouth
73,penguin
74,pool
75,skateboard
76,moustache
77,paintbrush
78,panda
79,scorpion
80,paintbrush
81,squiggle
82,scorpion
83,scorpion
84,rabbit
85,rifle
86,nail
87,mug
88,pillow
89,panda
90,nail
91,rhinoceros
92,scorpion
93,squiggle
94,pillow
95,rifle
96,pillow
97,moustache
98,skateboard
99,octagon
100,rifle
101,moustache
102,octagon
103,rabbit
104,sink
105,peanut
106,moustache
107,panda
108,nail
109,skateboard
110,mouth
111,peanut
112,mug
113,paintbrush
114,paintbrush
115,mug
116,rifle
117,apple
118,screwdriver
119,rhinoceros
120,nose
121,rollerskates
122,nail
123,octagon
124,mug
125,sailboat
126,sailboat
127,rollerskates
128,empty
129,shovel
130,rabbit
131,spoon
132,rifle
133,rollerskates
134,skull
135,mouth
136,apple
137,pear
138,pillow
139,scorpion
140,mouth
141,pear
142,pineapple
143,rifle
144,panda
145,peanut
146,scorpion
147,mouth
148,apple
149,mouth
150,moustache
151,pool
152,rabbit
153,skateboard
154,spoon
155,shovel
156,skateboard
157,moustache
158,rollerskates
159,scorpion
160,octagon
161,octagon
162,empty
163,shovel
164,penguin
165,skateboard
166,moustache
167,skateboard
168,rhinoceros
169,sailboat
170,scorpion
171,penguin
172,screwdriver
173,rifle
174,mouth
175,mug
176,skateboard
177,skull
178,scorpion
179,mug
180,sink
181,shovel
182,rifle
183,apple
184,skull
185,scorpion
186,spoon
187,panda
188,nose
189,sailboat
190,scorpion
191,nail
192,panda
193,mouth
194,squiggle
195,rabbit
196,empty
197,moustache
198,moustache
199,rabbit
200,scorpion
201,penguin
202,scorpion
203,pineapple
204,penguin
205,mouth
206,penguin
207,peanut
208,rhinoceros
209,pineapple
210,apple
211,pool
212,rabbit
213,moustache
214,pineapple
215,apple
216,skull
217,skateboard
218,skull
219,paintbrush
220,nail
221,penguin
222,pillow
223,rifle
224,apple
225,nail
226,paintbrush
227,pool
228,rifle
229,pencil
230,pear
231,peanut
232,empty
233,nose
234,penguin
235,sailboat
236,pineapple
237,pillow
238,shovel
239,mouth
240,rifle
241,skateboard
242,pool
243,mouth
244,parrot
245,nose
246,nail
247,mouth
248,apple
249,rabbit
250,mouth
251,pillow
252,pillow
253,rabbit
254,shovel
255,pencil
256,pear
257,nail
258,mouth
259,skateboard
260,squiggle
261,nail
262,moustache
263,skateboard
264,nail
265,rifle
266,peanut
267,octagon
268,pool
269,nail
270,rifle
271,mouth
272,mouth
273,penguin
274,pool
275,skateboard
276,pencil
277,rabbit
278,rabbit
279,apple
280,shovel
281,sailboat
282,sink
283,nail
284,moustache
285,spoon
286,sailboat
287,moustache
288,pool
289,panda
290,pineapple
291,mouth
292,nail
293,rollerskates
294,mouth
295,nail
296,sink
297,empty
298,peanut
299,pineapple
300,pillow
301,pool
302,moustache
303,mouth
304,octagon
305,pineapple
306,pencil
307,pillow
308,sailboat
309,skull
310,mug
311,paintbrush
312,skateboard
313,peanut
314,mouth
315,nose
316,pear
317,empty
318,pool
319,pencil
320,nail
321,pineapple
322,skull
323,pineapple
324,pencil
325,paintbrush
326,rollerskates
327,pear
328,screwdriver
329,shovel
330,paintbrush
331,apple
332,rhinoceros
333,mouth
334,rhinoceros
335,paintbrush
336,screwdriver
337,rollerskates
338,skull
339,skull
340,pencil
341,squiggle
342,sailboat
343,pineapple
344,mouth
345,pencil
346,mug
347,parrot
348,panda
349,parrot
350,panda
351,pineapple
352,penguin
353,pool
354,penguin
355,apple
356,empty
357,apple
358,rollerskates
359,squiggle
360,pineapple
361,mouth
362,mug
363,moustache
364,pencil
365,sink
366,mug
367,penguin
368,rifle
369,pillow
370,penguin
371,nail
372,panda
373,pear
374,paintbrush
375,skateboard
376,scorpion
377,penguin
378,pillow
379,pillow
380,rifle
381,scorpion
382,empty
383,paintbrush
384,rabbit
385,moustache
386,sink
387,paintbrush
388,rollerskates
389,rifle
390,apple
391,skateboard
392,paintbrush
393,pencil
394,nail
395,shovel
396,shovel
397,rabbit
398,skull
399,rhinoceros
400,paintbrush
401,rabbit
402,sailboat
403,skull
404,rifle
405,peanut
406,skateboard
407,mug
408,skateboard
409,paintbrush
410,pencil
411,pineapple
412,penguin
413,rabbit
414,rifle
415,skateboard
416,rifle
417,pillow
418,octagon
419,moustache
420,apple
421,moustache
422,pillow
423,mug
424,shovel
425,pear
426,skull
427,sink
428,screwdriver
429,rifle
430,panda
431,pencil
432,rollerskates
433,parrot
434,rollerskates
435,nose
436,pencil
437,rollerskates
438,apple
439,screwdriver
440,sink
441,scorpion
442,pencil
443,pear
444,pillow
445,rifle
446,sink
447,nose
448,rabbit
449,pool
450,mouth
451,mug
452,penguin
453,nose
454,pear
455,pencil
456,moustache
457,rifle
458,squiggle
459,nail
460,nail
461,skateboard
462,sink
463,empty
464,penguin
465,mouth
466,spoon
467,empty
468,rollerskates
469,rollerskates
470,penguin
471,mug
472,sink
473,pencil
474,screwdriver
475,penguin
476,skateboard
477,pool
478,skull
479,rollerskates
480,empty
481,mouth
482,pillow
483,nose
484,nose
485,pineapple
486,panda
487,rifle
488,empty
489,pool
490,sink
491,spoon
